epoch,train_loss,val_r2,val_rmse,val_mae,val_mape,val_r2_log,val_rmse_log,val_mae_log
1,0.46616822481155396,-26.194612027675404,3169.0393327169263,436.01472906656346,50.02455390631191,0.3881295156463269,0.563954806258803,0.4455380689766342
2,0.2225603461265564,0.4733026260551281,441.0286189458861,244.83293735901364,34.98865870770626,0.6459119761856963,0.4290127202635973,0.3279937743639966
3,0.18969278037548065,0.6120070490727776,378.52809013256837,240.06370152399126,32.713620933992445,0.6561704090553357,0.42275249122119,0.3238381654288907
4,0.17145606875419617,0.6215778160369041,373.83029179633724,234.88740816820626,31.828905081277952,0.6658006793951484,0.4167900394782834,0.31770066068636094
5,0.15835587680339813,0.6366010089888805,366.334697043104,227.86014538588657,33.00642822941134,0.6778503690031376,0.4092072968843248,0.309172970013761
6,0.14882153272628784,0.5944571062243218,386.9943225725943,234.58957361141879,33.982506608737545,0.676007740566988,0.4103759182279538,0.31027485608573563
7,0.14267945289611816,0.6580510931246113,355.35857993399406,230.2075523996054,31.42320239749297,0.6718484222791652,0.4130016612442106,0.31382394714129275
8,0.13782060146331787,0.6647401157514532,351.8657465771034,227.7683198790211,34.16657624604632,0.6792334937263795,0.40832790189922963,0.30832068041963456
9,0.13423843681812286,0.6790113748292367,344.2952389520687,224.10259641755724,32.263845797340146,0.6818978181766289,0.4066285559319704,0.307021096335832
10,0.13179494440555573,0.6825036974733312,342.4171685980284,224.13878488909927,32.63309237876015,0.6813008514296102,0.4070099270142399,0.30738136554683837
11,0.1292012482881546,0.672171738853097,347.9440312861456,225.80114558278396,31.662394862945447,0.6820401559123481,0.4065375709163641,0.307248248559815
12,0.12536972761154175,0.6833313158774745,341.97058753817333,222.7740893291672,30.83834340449496,0.684762598013732,0.40479339735287123,0.3049810529048739
13,0.12196603417396545,0.694070357057519,336.12202841962704,219.62570185364575,31.009912250837395,0.6901773898458962,0.4013017969609819,0.3014912100963236
14,0.11949106305837631,0.703079043418559,331.1361700195473,217.71304945089653,31.062656289667228,0.6934724960761018,0.3991620777597047,0.2991514635494335
15,0.11690034717321396,0.7017122945642131,331.8974169971423,217.29590780939566,30.766486743723103,0.6940982323503462,0.39875445073306137,0.2984515323223604
16,0.11449942737817764,0.6958812916174519,335.12572343213867,217.9286477637355,29.87859383076204,0.6919212786274997,0.4001708058199486,0.29925447199788135
17,0.11237761378288269,0.6885104509531768,339.16258433951583,218.8214794389488,29.908252811461207,0.6949496291728509,0.39819915020278085,0.29795749185404763
