epoch,train_loss,val_r2,val_rmse,val_mae,val_mape,val_r2_log,val_rmse_log,val_mae_log
1,0.2744801342487335,0.5270108132245107,417.9379440318406,260.05947418656154,36.752377993778026,0.6091137742995318,0.45075414972494093,0.3447013961391568
2,0.11389283835887909,0.6164860288370939,376.33688914720864,247.2996299783402,33.00405355981211,0.6084787409363832,0.4511201485006515,0.3424183285897854
3,0.09925223886966705,0.4314416770450671,458.21964713177476,277.41809886021247,39.57634494895569,0.612792225351622,0.44862821603755093,0.3456677294476905
4,0.09338480979204178,0.630768889538328,369.26261342368,239.6598700052906,33.757930558073745,0.6582596139081611,0.4214661529609219,0.3191576232758237
5,0.08927884697914124,0.628188844921437,370.5504999004202,245.8099937210392,34.04692854742611,0.6219331551947966,0.4433011384913213,0.33659070472896135
6,0.08578220009803772,0.6425864404439392,363.30527882373497,237.12507456756512,31.994371132587663,0.6437478288606245,0.4303217625725443,0.3248910745106129
7,0.08312804996967316,0.6474894626660894,360.8047510065034,235.13183092882488,31.54419384897328,0.64947455888305,0.42684905324313177,0.32092873324609195
8,0.08159496635198593,0.6146339188390093,377.2445194607449,240.15947539712826,31.700668418399598,0.6490749417653467,0.4270922989246483,0.32214777722137755
9,0.08008552342653275,0.6884453896570304,339.19800319268586,221.6247554413105,31.248865900754254,0.6801969913907353,0.40771418623498784,0.30419804129795913
10,0.0790136456489563,0.6643737462589969,352.05795220848853,225.20139564693574,29.71740028698266,0.6765286608065885,0.41004588084036037,0.3060971176378117
11,0.07864272594451904,0.6786466207110935,344.4908026577781,223.86686003253556,30.853246845900205,0.680434582278673,0.4075627067752308,0.3044038459463498
12,0.07860081642866135,0.6253943145142251,371.9404207953296,234.32300041462167,29.90495048900182,0.669303169613138,0.41460025647561005,0.3116769295884866
