epoch,train_loss,val_r2,val_rmse,val_mae,val_mape,val_r2_log,val_rmse_log,val_mae_log
1,0.741712749004364,-4.351257864464133,13744.202202711,1200.2390733425902,118.39391080157775,0.006344685605404132,0.7894790731973117,0.5815742957358744
2,0.28749924898147583,-2.9390411836126153,11791.983341877234,890.5766063370768,87.29194752531389,0.2436753624098711,0.6887741932670698,0.5034230045055038
3,0.25439396500587463,-1.7730362236123094,9893.94217068174,676.1273721440633,71.86269721949161,0.38287198369030906,0.6221718737402582,0.4486830946485446
4,0.23026372492313385,-0.7772056208400204,7920.642929943776,513.355434170227,58.23039676424694,0.5103350233633751,0.5542073279096459,0.3881552110836204
5,0.21170441806316376,-0.2927669274647511,6755.410006561243,427.69986817464195,49.00192778409465,0.5756904026583145,0.5158983873660149,0.35698354486800854
6,0.2003835290670395,-0.255668249642401,6657.774060227576,412.9026812869263,44.24479490652896,0.5929084945321014,0.5053226476261525,0.35137066482705986
7,0.19369564950466156,-0.23913178002152735,6613.789129667916,400.124105579834,42.79327712471584,0.6158717717825438,0.4908636295699509,0.3373428217352413
8,0.18832609057426453,-0.19877950787451115,6505.208959583632,394.66538759618123,41.33402882129639,0.620985642722985,0.487585266101474,0.3350575653535372
9,0.18354329466819763,-0.11502627989860215,6273.85024390965,388.34213070592244,39.876085761456885,0.6236312299949924,0.4858805704103776,0.3345929939993963
10,0.17911852896213531,-0.11889616751552912,6284.728043879908,384.0381227959188,39.510234762820865,0.6310037103588881,0.4810982115088886,0.32932208096415205
11,0.1747005134820938,-0.09141175618644537,6207.059521661665,377.95376618433636,39.522662149721945,0.637562806879852,0.4768031566637409,0.3249253948905953
12,0.1708260029554367,-0.07663305699189382,6164.89169643513,375.4702413650004,38.3103490736652,0.638494869033114,0.47618967621758035,0.32452270652936915
13,0.16710329055786133,-0.0606878135411999,6119.069499124417,371.9277366690572,38.55840901301072,0.643444686360225,0.4729183866068741,0.32117117768444464
14,0.1638053059577942,-0.04479631624779512,6073.057773303646,369.91581981796264,37.494526399609555,0.6455860422924802,0.47149615055565647,0.3202472856134993
15,0.16039936244487762,-0.028079390886853295,6024.276862864626,367.0265010616048,37.70229908660795,0.6496832867129247,0.46876283441518796,0.3177852181259791
16,0.1577887237071991,-0.0028691235731657105,5949.95562108924,366.0719198615519,36.66407084487272,0.6468703662754367,0.4706410721959721,0.32021237279712056
17,0.1550622135400772,-0.0038486495092824313,5952.860642934943,362.80769120081584,36.8730880033381,0.6511800260626363,0.46776036040022295,0.3166701789821265
18,0.15274687111377716,0.004237776265638815,5928.835756361945,361.9696533217875,35.941329494785954,0.6506535604383186,0.4681132170600064,0.317481705052818
19,0.15086251497268677,0.0042617397581110605,5928.764415803717,359.2181041356913,36.25567650240149,0.6549973508681018,0.465193842636911,0.31462571398885764
20,0.149595245718956,0.004384333661345163,5928.3994339741175,359.2493255447388,36.398526644277,0.6555252758270113,0.46483778528105935,0.31457745035797413
