epoch,train_loss,val_r2,val_rmse,val_mae,val_mape,val_r2_log,val_rmse_log,val_mae_log
1,0.3764778673648834,-2.2286938304869213,10675.913053953054,761.7947879041544,82.14386416152189,0.33798853900426806,0.6443999482663795,0.4585227761287106
2,0.13345487415790558,-0.1588239401596272,6395.880275935618,385.9774207143148,45.83384732523631,0.6105773361649112,0.4942348372985831,0.33639735324889186
3,0.11003298312425613,-0.04851814173134694,6083.865031783679,366.74395191685994,41.138799070042545,0.639001696575616,0.47585575191972534,0.32145051097340616
4,0.1042051687836647,0.003749461793736364,5930.289306908943,355.73736545633955,38.28212356707713,0.6489523571520313,0.46925161222928813,0.3162840635571358
5,0.10067233443260193,0.007641238565420871,5918.694861103243,353.95766793843586,36.143567593925425,0.6533017934910594,0.466335567359997,0.31389701398558995
6,0.09864278882741928,0.008667681773254943,5915.6330773231675,350.1084537185669,35.689005190986734,0.6590572206526273,0.46244862381434526,0.31011186043556954
7,0.09721630811691284,0.009064018181669353,5914.45041883772,347.4031793133545,35.40556683734851,0.6641737338908824,0.458965533730758,0.3069440726092988
8,0.09587787836790085,0.008773989415729821,5915.315881033245,348.0135960112,34.31366492843708,0.6646252537727326,0.4586568893698884,0.3069242711340335
9,0.0949910581111908,0.00929019638867179,5913.7754024103,345.3449115620422,35.321304058063944,0.6682696826324719,0.4561580305294339,0.30443844527580244
10,0.09416811168193817,0.009097158449597242,5914.3515183467025,345.14651597712196,33.70840519475729,0.6692390994159398,0.45549102669161634,0.303439789360511
11,0.09281058609485626,0.008994321513813186,5914.658409185212,344.7153469527435,33.24634442330571,0.6709940034656134,0.4542810799777294,0.3023918618200436
12,0.09232669323682785,0.009127972761838854,5914.259557720689,344.1554705257416,33.40625552369453,0.672160682385337,0.45347490797050816,0.30203073033898836
